"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Piloto","Liberty","Middle",4,"0%","0%",7,6,10,2.8,"89.5%","36.8%","10.7%","75%",-175,-72,-4.5,8.6,"29.7%",464,"27.2%","24.6%",228,"26.9%",0,0.48,0.21,0.26
"ProDelta","paiN Gaming","Support",18,"78%","50%",14,46,232,5.3,"80.9%","4.6%","25.0%","22%",59,208,-3.6,1,"2.3%",159,"6.6%","5.5%",123,"9.8%",0,1.68,0.55,0.45
"Ranger","Los Grandes","Support",18,"33%","61%",11,73,150,2.2,"73.5%","5.0%","24.8%","28%",-39,-142,-1.5,1,"2.6%",139,"6.4%","5.7%",103,"9.4%",0,1.56,0.39,0.35
"RAV3N","KaBuM! Esports","ADC",18,"6%","67%",64,56,52,2.1,"69.5%","38.3%","17.4%","28%",-106,-22,-3.2,9.1,"33.1%",507,"25.7%","27.3%",271,"27.5%",0,0.41,0.14,0.25
"Reaper","Liberty","ADC",4,"0%","25%",7,11,5,1.1,"63.2%","36.8%","19.6%","25%",-17,-18,1.3,8,"27.8%",482,"28.3%","34.4%",209,"24.5%",0,0.3,0.07,0.14
"RedBert","KaBuM! Esports","Support",18,"6%","61%",11,83,106,1.4,"70.1%","6.6%","25.9%","22%",-145,-61,0.3,1,"2.4%",132,"6.6%","5.7%",81,"8.1%",0,1.81,0.56,0.35
"Robo","LOUD","Top",18,"72%","39%",71,60,108,3,"59.3%","23.5%","25.4%","11%",101,131,2.4,7.6,"23.8%",542,"22.3%","19.9%",277,"23.0%",0,0.42,0.14,0.2
"Route","LOUD","ADC",18,"72%","50%",99,35,119,6.2,"72.2%","32.8%","14.8%","22%",112,45,3.4,9.4,"33.1%",721,"29.6%","32.2%",328,"27.1%",0,0.51,0.21,0.37
"Samkz","KaBuM! Esports","Jungle",2,"0%","0%",5,10,18,2.3,"76.7%","16.7%","24.4%","0%",-131,133,-2,4.1,"10.8%",301,"13.1%","13.3%",154,"15.4%",0,0.49,0.48,0.33
"scary","KaBuM! Esports","Jungle",6,"17%","67%",6,16,41,2.9,"72.3%","9.2%","15.4%","33%",-116,-28,-4.2,4.8,"13.5%",239,"10.7%","10.3%",159,"15.4%",1,0.68,0.42,0.45
"SkB","Liberty","Top",4,"0%","25%",3,17,7,0.6,"52.6%","15.8%","30.4%","50%",-223,-69,-6.3,7.5,"24.7%",349,"21.0%","16.2%",179,"21.3%",0,0.51,0.21,0.06
"Tay","Fluxo","Top",18,"61%","72%",36,34,110,4.3,"57.9%","14.3%","16.4%","22%",-205,-89,-7.7,7.5,"22.3%",374,"15.3%","13.3%",239,"20.6%",0,0.39,0.2,0.22
